Year,Pick #,Manager,Player Drafted,FAAB Remaining
2019,12,Andrew,Dalvin Cook,100
2018,1,Tuan,Todd Gurley,16
2018,2,Mars,Le'Veon Bell,0
2018,3,Jason R.,Ezekiel Elliott,94
2018,4,Emily,Antonio Brown,19
2018,5,Jane,David Johnson,1
2018,6,Markus,Saquon Barkley,80
2018,7,Vivian,Alvin Kamara,0
2018,8,Ryan,Kareem Hunt,9
2018,9,Rich,DeAndre Hopkins,22
2018,10,Oliver,Melvin Gordon III,27
2018,11,Eddie,Odell Beckham Jr.,41
2018,12,Eric Lew,Julio Jones,62
2017,1,Alvin,David Johnson,0
2017,2,Rich,Le'Veon Bell,5
2017,3,Emily,Antonio Brown,18
2017,4,Mars,Julio Jones,64
2017,5,Eddie,LeSean McCoy,6
2017,6,Markus,Odell Beckham Jr.,100
2017,7,Jason R.,Mike Evans,76
2017,8,Vivian,Devonta Freeman,61
2017,9,Jane,Melvin Gordon III,0
2017,10,Eric Chow,A.J. Green,3
2017,11,Oliver,Jordy Nelson,45
2017,12,Eric Lew,Jay Ajayi,100
2016,1,Eddie,Antonio Brown,
2016,2,Andrew,Odell Beckham Jr.,
2016,3,Jeremy,Julio Jones,
2016,4,Emily,Todd Gurley,
2016,5,Vivian,David Johnson,
2016,6,Eric Chow,Rob Gronkowski,
2016,7,Jane,Ezekiel Elliott,
2016,8,Rich,Lamar Miller,
2016,9,Eric Lew,DeAndre Hopkins,
2016,10,Alvin,A.J. Green,
2016,11,Oliver,Brandon Marshall,
2016,12,Jason R.,Adrian Peterson,
2015,1,Eddie,Adrian Peterson,
2015,2,Emily,Eddie Lacy,
2015,3,Markus,Marshawn Lynch,
2015,4,Rich,Le'Veon Bell,
2015,5,Eric Chow,Rob Gronkowski,
2015,6,Tuan,Jamaal Charles,
2015,7,Andrew,Antonio Brown,
2015,8,Jason R.,Demaryius Thomas,
2015,9,Jane,Dez Bryant,
2015,10,Eric Lew,Odell Beckham Jr.,
2015,11,Vivian,Jeremy Hill,
2015,12,Oliver,Julio Jones,
2013,1,Eddie,Adrian Peterson,
2013,2,Rich,Doug Martin,
2013,3,Tuan,Marshawn Lynch,
2013,4,Preston,C.J. Spiller,
2013,5,Steve L.,LeSean McCoy,
2013,6,Quang,Jamaal Charles,
2013,7,Jason R.,Arian Foster,
2013,8,Eric Chow,Calvin Johnson,
2013,9,H.A.M.,Jimmy Graham,
2013,10,Emily,Aaron Rodgers,
2013,11,Bradley Y.,Alfred Morris,
2013,12,Randall,Ray Rice,
2012,1,Randall,Aaron Rodgers,
2012,2,Bradley Y.,Drew Brees,
2012,3,Preston,Tom Brady,
2012,4,Rich,Arian Foster,
2012,5,Eddie,Ray Rice,
2012,6,Markus,LeSean McCoy,
2012,7,Quang,Calvin Johnson,
2012,8,Emily,Chris Johnson,
2012,9,Jason R.,Matthew Stafford,
2012,10,Tuan,Matt Forte,
2012,11,Eric Chow,Cam Newton,
2012,12,H.A.M.,Darren McFadden,
